10/24/2017 10:31,BTC-DNT,100,0.00001391, Buy
10/18/2017 08:23,BTC-OMG,4,0.00148152, Buy
10/17/2017 13:01,BTC-OMG,8,0.00145443, Buy
10/17/2017 11:38,ETH-OMG,10,0.0253, Buy
09/18/2017 09:19,BTC-LTC,1.78839363,0.01393798, Sell
09/14/2017 09:58,BTC-OMG,10.22395418,0.00255988, Buy
08/30/2017 14:53,BTC-OMG,3.27067472,0.00251695, Buy
08/30/2017 14:53,BTC-PART,10,0.00215496, Sell
08/30/2017 14:53,BTC-OMG,5.24690544,0.00251747, Buy
08/30/2017 14:46,BTC-OMG,2.98770493,0.00252521, Buy
08/30/2017 14:45,BTC-NEO,0.9975,0.00760199, Sell
08/30/2017 11:17,BTC-LSK,14.78846373,0.00141219, Buy
08/30/2017 11:16,BTC-OMG,5,0.002333, Buy
08/30/2017 11:16,BTC-PART,10,0.0023984, Buy
08/30/2017 11:02,BTC-BTS,300,0.00003163, Buy
08/30/2017 10:57,BTC-ETH,0.79387622,0.0835132, Sell
08/30/2017 10:53,ETH-LTC,4.85282418,0.16400055, Sell
08/17/2017 13:40,BTC-QWARK,30.78329968,0.00012823, Buy
08/17/2017 13:39,BTC-ETH,0.05521678,0.07049976, Sell
08/17/2017 08:52,BTC-BAT,20.5073605,0.00006396, Buy
08/15/2017 13:55,BTC-ARK,6.20881609,0.00047999, Buy
08/15/2017 13:14,BTC-RDD,2500,0.00000031, Buy
08/15/2017 13:11,BTC-LTC,0.5,0.010422, Sell
08/14/2017 15:43,BTC-ARK,14,0.00036499, Buy
08/14/2017 14:49,BTC-ARK,28,0.00029481, Buy
08/14/2017 11:07,BTC-DRACO,400,0.00000274, Buy
08/14/2017 09:11,BTC-ARK,2,0.00029, Buy
08/11/2017 12:20,BTC-XRP,20,0.0000505, Buy
08/11/2017 12:16,BTC-ADX,50,0.000146, Buy
08/11/2017 11:17,BTC-NEO,0.9975,0.00960999, Buy
08/11/2017 11:16,BTC-LTC,0.50140366,0.01316998, Sell
08/11/2017 11:08,BTC-LTC,0.7,0.013158, Sell
08/11/2017 11:05,BTC-ADX,0.9975,0.00014789, Buy
